date,total_renewable_energy_consumption,crude_oil_domestic_first_purchase_price,coal_consumption,total_energy_co2_emissions
12/1/1983,587.773,25.88,70540.323,419.136
1/1/1984,570.081,25.93,71919.567,461.982
2/1/1984,535.239,26.06,62994.93,394.517
3/1/1984,579.04,26.05,65027.775,411.445
4/1/1984,566.019,25.93,58945.006,374.011
5/1/1984,593.504,26,60165.097,365.965
6/1/1984,553.321,26.09,66706.753,362.688
7/1/1984,547.618,26.11,70422.274,371.365
8/1/1984,524.053,26.02,73557.45,384.132
9/1/1984,470.91,25.97,64133.142,347.688
10/1/1984,479.62,25.92,64664.826,363.325
11/1/1984,486.11,25.44,64613.373,373.221
12/1/1984,532.347,25.05,68145.5,402.536
1/1/1985,555.205,24.26,74849.1,444.854
2/1/1985,511.838,23.64,65777.191,411.498
3/1/1985,525.002,23.89,64857.45,394.696
4/1/1985,512.937,24.19,61753.43,367.994
5/1/1985,542.968,24.18,64796.648,361.573
6/1/1985,507.33,24.07,66978.446,353.778
7/1/1985,489.577,24.04,74162.318,374.455
8/1/1985,475.912,23.99,73101.563,380.667
9/1/1985,454.274,23.96,66673.298,345.792
10/1/1985,475.406,24.1,65032.786,364.384
11/1/1985,499.606,24.27,64865.711,366.589
12/1/1985,533.96,24.51,75200.718,439.075
1/1/1986,486.064,23.12,75872.541,449.847
2/1/1986,479.122,17.65,65822.741,399.896
3/1/1986,558.538,12.62,64537.966,407.06
4/1/1986,539.897,10.68,58921.077,363.838
5/1/1986,545.072,10.75,61559.018,363.54
6/1/1986,527.412,10.68,68193.076,363.858
7/1/1986,513.292,9.25,76787.333,387.586
8/1/1986,482.847,9.77,70590.401,377.2
9/1/1986,472.114,11.09,65293.125,348.993
10/1/1986,482.113,11,63179.272,361.669
11/1/1986,492.321,11.05,63682.41,368.296
12/1/1986,532.346,11.73,69792.008,423.879
1/1/1987,521.265,13.79,72647.557,448.341
2/1/1987,452.878,14.51,63090.85,402.627
3/1/1987,498.782,14.54,63784.29,403.41
4/1/1987,477.656,14.95,61471.941,378.647
5/1/1987,509.032,15.29,65950.473,372.334
6/1/1987,466.873,15.95,72204.411,381.889
7/1/1987,467.691,16.88,80478.546,406.176
8/1/1987,448.986,17.06,79934.558,399.224
9/1/1987,437.201,16.25,68983.521,369.47
10/1/1987,442.655,15.95,67298.576,386.11
11/1/1987,423.208,15.46,66633.901,384.997
12/1/1987,475.58,14.27,74461.968,442.326
1/1/1988,495.132,13.64,78967.267,472.666
2/1/1988,446.663,13.43,72165.673,441.612
3/1/1988,469.098,12.96,69653.994,438.675
4/1/1988,455.993,13.92,64152.338,386.98
5/1/1988,486.212,14.12,66506.652,380.929
6/1/1988,453.891,13.59,75076.25,392.77
7/1/1988,442.602,12.38,81993.87,409.709
8/1/1988,437.214,12.22,85300.987,426.483
9/1/1988,426.312,11.63,71377.027,380.193
10/1/1988,422.602,10.62,70248.363,399.556
11/1/1988,448.903,10.31,70008.168,407.352
12/1/1988,472.132,11.99,78191.217,461.289
1/1/1989,509.148,13.8,77972.523,460.86
2/1/1989,461.436,14.24,73707.444,439.672
3/1/1989,532.717,15.65,73129.833,454.286
4/1/1989,530.099,17.04,66694.322,400.26
5/1/1989,562.702,16.76,68795.624,395.469
6/1/1989,546.138,16.42,73767.343,400.511
7/1/1989,525.099,16.32,80039.787,408.011
8/1/1989,513.156,15.01,80599.391,417.768
9/1/1989,487.951,15.58,72790.488,386.783
10/1/1989,511.061,16.25,71558.601,404.686
11/1/1989,521.326,16.3,72019.256,415.708
12/1/1989,533.842,17.01,83925.271,500.569
1/1/1990,511.273,18.49,77917.507,464.453
2/1/1990,508.362,18.16,69138.38,414.104
3/1/1990,567.936,16.57,72120.262,433.439
4/1/1990,530.432,14.52,68396.59,403.796
5/1/1990,525.675,13.82,69683.12,400.999
6/1/1990,503.364,12.79,75714.409,404.963
7/1/1990,499.497,14.03,82114.088,419.468
8/1/1990,497.457,21.87,83806.284,434.742
9/1/1990,447.351,28.46,77368.112,395.485
10/1/1990,460.201,30.86,75716.732,410.11
11/1/1990,459.567,27.53,72438.484,405.727
12/1/1990,528.928,22.63,80083.601,450.635
1/1/1991,569.478,19.6,82810.979,476.649
2/1/1991,465.118,16.28,69163.308,405.507
3/1/1991,519.11,15.13,70078.844,421.681
4/1/1991,492.914,16.16,65017.029,387.672
5/1/1991,540.591,16.44,70901.257,392.197
6/1/1991,513.64,15.58,75581.345,393.793
7/1/1991,499.537,16.36,82301.26,418.438
8/1/1991,512.231,16.6,82276.459,420.614
9/1/1991,491.724,16.71,74643.435,392.149
10/1/1991,467.137,17.72,72948.511,408.53
11/1/1991,467.744,17.12,75197.695,420.124
12/1/1991,528.582,14.68,78306.681,455.359
1/1/1992,535.607,13.99,79495.144,471.151
2/1/1992,449.195,14.04,71012.597,427.593
3/1/1992,482.785,14.12,73820.015,441.686
4/1/1992,445.956,15.36,68950.957,410.6
5/1/1992,455.24,16.38,70614.019,400.344
6/1/1992,497.883,17.96,74056.109,395.603
7/1/1992,486.979,17.8,84516.155,428.439
8/1/1992,491.443,17.07,81115.988,416.088
9/1/1992,458.264,17.2,76176.47,397.755
10/1/1992,472.681,17.16,73631.888,411.716
11/1/1992,498.632,16,73551.673,417.947
12/1/1992,545.914,14.94,80713.784,474.991
1/1/1993,563.875,14.7,80663.12,462.049
2/1/1993,477.73,15.53,74794.963,439.116
3/1/1993,543.537,15.94,78172.646,465.111
4/1/1993,526.705,16.15,70048.053,408.355
5/1/1993,536.102,16.03,70336.817,390.206
6/1/1993,506.208,15.06,78621.11,405.188
7/1/1993,491.496,13.83,89450.433,437.687
8/1/1993,501.478,13.75,88607.984,438.287
9/1/1993,462.236,13.39,76788.272,406.495
10/1/1993,468.918,13.72,76082.939,417.661
11/1/1993,483.799,12.45,76934.941,434.692
12/1/1993,519.576,10.38,83580.006,480.71
1/1/1994,546.993,10.49,88402.068,509.351
2/1/1994,475.202,10.71,76903.91,460.796
3/1/1994,530.782,10.94,77654.016,452.918
4/1/1994,516.489,12.31,70555.787,413.599
5/1/1994,494.387,14.02,73719.808,408.469
6/1/1994,496.831,14.93,83932.669,428.061
7/1/1994,537.967,15.34,87617.708,435.259
8/1/1994,484.579,14.5,86743.143,442.647
9/1/1994,430.613,13.62,77099.295,406.308
10/1/1994,477.805,13.84,75461.363,417.603
11/1/1994,482.586,14.14,73152.261,417.72
12/1/1994,512.938,13.43,80043.874,469.966
1/1/1995,515.418,14,83049.856,480.758
2/1/1995,477.66,14.71,74907.849,447.552
3/1/1995,550.611,14.68,74826.637,454.173
4/1/1995,536.248,15.84,69517.601,412.671
5/1/1995,532.012,15.85,73073.84,415.654
6/1/1995,561.172,15.02,79796.709,422.219
7/1/1995,600.268,14.01,90648.083,445.181
8/1/1995,580.333,14.13,95025.659,465.878
9/1/1995,499.538,14.49,79682.071,419.882
10/1/1995,560.889,13.68,77378.663,421.225
11/1/1995,559.124,14.03,78674.73,444.593
12/1/1995,586.128,15.02,85522.078,494.551
1/1/1996,607.656,15.43,88468.208,514.312
2/1/1996,572.905,15.54,80225.103,476.499
3/1/1996,628.615,17.63,80319.241,477.655
4/1/1996,556.124,19.58,72688.563,430.634
5/1/1996,595.78,17.94,77851.52,433.443
6/1/1996,608.162,16.94,84077.94,434.207
7/1/1996,610.006,17.63,91215.951,455.176
8/1/1996,594.961,18.29,92171.521,462.239
9/1/1996,512.565,19.93,82396.059,421.933
10/1/1996,567.221,21.09,82553.787,451.414
11/1/1996,561.216,20.2,84828.236,462.89
12/1/1996,597.221,21.34,89524.643,497.656
1/1/1997,629.127,21.76,92703.081,520.106
2/1/1997,563.44,19.38,78849.55,456.787
3/1/1997,628.717,17.83,80386.51,468.6
4/1/1997,603.648,16.63,76572.695,442.954
5/1/1997,640.222,17.23,78225.959,437.471
6/1/1997,607.079,15.88,83746.381,439.379
7/1/1997,611.062,15.89,95463.938,479.659
8/1/1997,567.068,16.19,93212.351,466.922
9/1/1997,512.47,16.41,86709.737,440.694
10/1/1997,582.313,17.66,87018.46,458.647
11/1/1997,526.711,16.83,84458.566,462.874
12/1/1997,542.307,15.04,92197.228,515.256
1/1/1998,591.097,13.45,90586.396,508.784
2/1/1998,535.21,12.17,79507.094,451.783
3/1/1998,586.5,11.15,82485.725,481.772
4/1/1998,548.691,11.28,76736.996,445.734
5/1/1998,605.824,11.13,83216.933,447.659
6/1/1998,537.599,10,89349.469,461.336
7/1/1998,565.74,10.44,97810.317,492.956
8/1/1998,537.245,10.2,97676.419,492.45
9/1/1998,486.761,11.29,88181.89,454.46
10/1/1998,486.811,11.32,83888.702,452.082
11/1/1998,455.646,9.64,79799.744,446.075
12/1/1998,554.219,8.03,87863.131,501.677
1/1/1999,595.568,8.57,91238.539,524.855
2/1/1999,533.105,8.6,78967.232,459.243
3/1/1999,563.739,10.76,82646.818,494.244
4/1/1999,549.277,12.82,78636.501,454.028
5/1/1999,608.948,13.92,82204.376,447.415
6/1/1999,573.257,14.39,88323.05,458.288
7/1/1999,593.643,16.12,99880.333,494.983
8/1/1999,546.596,17.58,96862.518,494.866
9/1/1999,481.263,20.03,87128.816,449.585
10/1/1999,457.255,19.71,83773.023,460.654
11/1/1999,494.46,21.35,81134.295,449.932
12/1/1999,516.689,22.55,87851.042,512.193
1/1/2000,505.528,23.53,97043.237,531.998
2/1/2000,498.999,25.48,88029.479,497.868
3/1/2000,558.482,26.19,86379.33,489.024
4/1/2000,567.156,23.2,78212.149,448.673
5/1/2000,558.834,25.58,85275.298,472.115
6/1/2000,507.753,27.62,92577.183,475.441
7/1/2000,525.603,26.81,96419.551,489.539
8/1/2000,505.433,27.91,99791.091,512.15
9/1/2000,443.558,29.72,89049.419,464.59
10/1/2000,469.441,29.65,88309.091,471.154
11/1/2000,484.435,30.36,87678.809,478.528
12/1/2000,479.073,24.46,95330.237,557.535
1/1/2001,447.075,24.64,96896.583,555.883
2/1/2001,404.487,25.27,83772.227,485.089
3/1/2001,456.144,22.98,86499.188,509.529
4/1/2001,424.544,23.39,78371.593,458.456
5/1/2001,434.878,24.06,84604.868,460.06
6/1/2001,451.271,23.43,90024.609,458.039
7/1/2001,438.449,22.82,99156.536,493.329
8/1/2001,445.566,23.08,101105.371,502.691
9/1/2001,395.84,22.37,86705.072,445.213
10/1/2001,412.281,18.73,83511.233,462.569
11/1/2001,401.022,16.4,81013.457,451.856
12/1/2001,448.485,15.54,88484.795,495.105
1/1/2002,475.003,15.89,90003.707,521.276
2/1/2002,428.8,16.93,79568.765,464.827
3/1/2002,456.504,20.28,83394.611,497.852
4/1/2002,488.033,22.52,78688.328,460.2
5/1/2002,527.257,23.51,83658.24,461.126
6/1/2002,533.013,22.59,90613.311,466.892
7/1/2002,525.803,23.51,99977.291,502.604
8/1/2002,469.232,24.76,99012.333,500.486
9/1/2002,431.019,26.08,91304.887,461.631
10/1/2002,445.367,25.29,88469.273,471.269
11/1/2002,458.065,23.38,87015.673,481.988
12/1/2002,488.107,25.29,94648.155,529.909
1/1/2003,467.768,28.42,99026.1,554.832
2/1/2003,440.766,31.85,87031.782,506.367
3/1/2003,506.122,30.1,86182.176,504.002
4/1/2003,509.869,25.45,79312.222,458.321
5/1/2003,557.691,24.95,83889.216,454.729
6/1/2003,548.232,26.84,90507.648,457.595
7/1/2003,523.856,27.52,100380.515,497.371
8/1/2003,502.381,27.94,101871.669,507.289
9/1/2003,445.427,25.23,91509.592,459.917
10/1/2003,452.123,26.53,88394.926,472.997
11/1/2003,463.802,27.21,88947.222,475.202
12/1/2003,526.226,28.53,97807.773,537.828
1/1/2004,515.182,30.35,99807.875,560.772
2/1/2004,475.956,31.21,90233.479,521.929
3/1/2004,510.8,32.86,86075.842,504.026
4/1/2004,489.917,33.2,79645.136,465.268
5/1/2004,523.19,35.73,87694.373,477.867
6/1/2004,534.475,34.53,92975.548,476.573
7/1/2004,524.02,36.54,100663.512,503.589
8/1/2004,502.435,40.1,99319.155,500.574
9/1/2004,480.236,40.56,92548.059,469.262
10/1/2004,474.139,46.14,89025.608,478.231
11/1/2004,485.653,42.85,89666.526,486.939
12/1/2004,558.847,38.22,99599.425,548.722
1/1/2005,537.957,40.18,99403.225,553.43
2/1/2005,489.174,42.19,87720.533,494.785
3/1/2005,523.965,47.56,91150.681,522.887
4/1/2005,513.75,47.26,80859.706,461.666
5/1/2005,568.378,44.03,86367.787,471.73
6/1/2005,562.221,49.83,96504.417,487.538
7/1/2005,562.55,53.35,103428.775,513.853
8/1/2005,517.306,58.9,104549.477,521.512
9/1/2005,464.673,59.64,95689.525,473.451
10/1/2005,477.098,56.99,91469.168,474.251
11/1/2005,486.959,53.2,89018.317,478.51
12/1/2005,529.713,53.24,99816,553.413
1/1/2006,589.472,57.85,94621.37,521.886
2/1/2006,527.016,55.69,88231.349,487.02
3/1/2006,551.725,55.64,89877.102,512.331
4/1/2006,579.724,62.52,79419.116,454.704
5/1/2006,618.094,64.4,87490.378,468.672
6/1/2006,608.287,64.65,94297.71,481.52
7/1/2006,573.974,67.71,104145.4,515.188
8/1/2006,537.154,67.21,105198.209,524.517
9/1/2006,484.045,59.37,91333.887,467.128
10/1/2006,496.715,53.26,91199.139,486.716
11/1/2006,522.59,52.42,89548.183,480.989
12/1/2006,548.344,55.03,96929.919,528.691
1/1/2007,597.023,49.32,98737.661,543.444
2/1/2007,491.007,52.94,90969.775,521.636
3/1/2007,577.08,54.95,89019.463,508.119
4/1/2007,565.801,58.2,82540.111,469.905
5/1/2007,593.598,58.9,88010.435,474.773
6/1/2007,557.977,62.35,96555.217,482.421
7/1/2007,561.51,69.23,103282.294,506.597
8/1/2007,542.305,67.77,105786.699,529.455
9/1/2007,482.39,73.27,94596.351,477.014
10/1/2007,503.6,79.32,90819.885,478.509
11/1/2007,501.382,87.16,89310.735,482.729
12/1/2007,549.82,85.28,98369.504,540.968
1/1/2008,593.63,87.06,101388.662,555.402
2/1/2008,541.686,89.41,93441.72,511.668
3/1/2008,596.878,98.44,90154.05,506.037
4/1/2008,606.43,106.64,83461.557,462.547
5/1/2008,664.939,118.55,87807.055,461
6/1/2008,673.973,127.47,96035.744,468.333
7/1/2008,645.981,128.08,104723.707,494.996
8/1/2008,597.497,112.83,102389.859,485.389
9/1/2008,532.877,98.5,91908.77,437.077
10/1/2008,554.001,73.18,86926.884,461.949
11/1/2008,549.341,53.67,87148.645,462.279
12/1/2008,618.066,36.8,95161.791,516.481
1/1/2009,622.078,35,96448.616,533.282
2/1/2009,537.023,34.14,80120.525,456.548
3/1/2009,623.332,42.45,77813.967,460.941
4/1/2009,655.288,45.19,72019.193,418.627
5/1/2009,697.469,52.67,75264.05,412.284
6/1/2009,687.84,63.09,83826.921,428.561
7/1/2009,645.659,60.44,89133.755,447.471
8/1/2009,618.461,65.28,91730.842,458.815
9/1/2009,569.29,65.28,78756.705,417.546
10/1/2009,628.834,69.82,80034.899,432.251
11/1/2009,637.537,71.99,78501.9,427.319
12/1/2009,686.335,70.42,93826.234,510.047
1/1/2010,674.854,72.87,96493.761,524.196
2/1/2010,616.888,72.74,86001.06,471.421
3/1/2010,687.483,75.77,82444.118,469.025
4/1/2010,672.394,78.8,72790.215,420.429
5/1/2010,731.173,70.91,81570.459,435.596
6/1/2010,771.168,70.77,92983.42,457.371
7/1/2010,718.081,71.37,100582.163,484.441
8/1/2010,676.525,72.07,100393.037,490.652
9/1/2010,637.853,71.23,85385.77,441.772
10/1/2010,658.593,76.02,76590.832,427.179
11/1/2010,689.54,79.2,78697.159,444.015
12/1/2010,733.56,83.98,94581.723,527.566
1/1/2011,740.101,85.66,96303.081,529.276
2/1/2011,711.537,86.69,79576.763,454.471
3/1/2011,816.648,99.19,78766.962,464.561
4/1/2011,815.493,108.8,72497.188,418.501
5/1/2011,839.626,102.46,79098.326,425.513
6/1/2011,836.944,97.3,89651.825,445.139
7/1/2011,796.166,97.82,99618.148,476.202
8/1/2011,755.301,89,97762.441,480.28
9/1/2011,682.866,90.22,82341.004,428.316
10/1/2011,711.207,92.28,75260.839,424.898
11/1/2011,737.148,100.18,72706.918,432.498
12/1/2011,770.705,98.71,79364.672,475.042
1/1/2012,752.69,98.99,76291.6,477.25
2/1/2012,684.269,102.04,68466.207,440.129
3/1/2012,790.588,105.42,63074.891,417.392
4/1/2012,767.268,103.62,56898.617,390.716
5/1/2012,810.563,95.57,68014.705,414.706
6/1/2012,779.91,83.59,76642.097,427.519
7/1/2012,752.139,86.1,91587.644,467.501
8/1/2012,726.017,92.53,87918.693,463.806
9/1/2012,650.345,95.98,74477.409,411.419
10/1/2012,689.455,92.24,71773.73,422.962
11/1/2012,688.272,89.64,75318.703,438.704
12/1/2012,768.019,89.81,78720.825,464.221
1/1/2013,797.304,95,80587.134,494.235
2/1/2013,714.264,95.01,72485.533,442.142
3/1/2013,781.514,95.54,75914.288,463.84
4/1/2013,830.705,94.41,65959.613,409.479
5/1/2013,870.257,94.75,69885.357,414.133
6/1/2013,839.147,93.82,80169.252,424.328
7/1/2013,826.101,101.41,88299.204,459.348
8/1/2013,756.596,102.96,87155.789,456.192
9/1/2013,715.938,102.32,77901.622,424.827
10/1/2013,756.568,96.18,71824.198,424.853
11/1/2013,768.716,88.7,71439.212,446.147
12/1/2013,806.667,91.85,82820.614,499.339
1/1/2014,825.09,89.57,89062.794,532.893
2/1/2014,712.154,96.86,81580.981,473.427
3/1/2014,862.101,96.17,77685.495,469.603
4/1/2014,872.763,96.49,63209.565,409.965
5/1/2014,870.407,95.74,69184.695,416.051
6/1/2014,866.273,98.68,79487.082,426.24
7/1/2014,833.911,96.7,86802.295,456.829
8/1/2014,772.102,90.72,86357.128,457.445
9/1/2014,723.306,86.87,74293.549,422.109
10/1/2014,776.031,78.84,66493.941,425.464
11/1/2014,816.201,71.07,70154.743,447.016
12/1/2014,830.74,54.86,73419.21,476.834
1/1/2015,817.426,43.06,76894.69,506.473
2/1/2015,769.798,44.35,72317.599,472.13
3/1/2015,836.501,42.66,63559.966,455.72
4/1/2015,835.071,49.3,53207.419,395.967
5/1/2015,832.147,54.38,61923.19,409.557
6/1/2015,797.476,55.88,73844.88,431.09
7/1/2015,822.935,47.7,81448.949,463.667
8/1/2015,799.527,39.98,78574.441,454.817
9/1/2015,752.557,41.6,69369.492,418.562
10/1/2015,778.832,42.34,58404.552,409.784
11/1/2015,826.8,38.19,53639.953,406.13
12/1/2015,880.423,32.26,54929.549,438.153
1/1/2016,859.655,27.02,66662.224,482.857
2/1/2016,857.728,25.52,55210.717,433.647
3/1/2016,936.539,31.87,44574.606,409.892
4/1/2016,889.149,35.59,43383.704,382.587
5/1/2016,903.5,41.02,49342.933,390.115
6/1/2016,857.314,43.96,67551.229,424.802
7/1/2016,875.161,40.71,78568.539,459.009
8/1/2016,826.663,40.46,78174.536,466.588
9/1/2016,791.941,40.55,66614.898,418.325
10/1/2016,834.615,45,58952.703,408.97
11/1/2016,838.294,41.65,52533.242,405.951
12/1/2016,938.113,47.12,69501.358,486.149
1/1/2017,909.224,48.19,68005.594,477.193
2/1/2017,862.546,49.41,52380.924,396.727
3/1/2017,1018.288,46.39,53325.237,435.699
4/1/2017,997.739,47.23,48565.447,383.433
5/1/2017,1038.529,45.19,55201.684,404.315
6/1/2017,994.661,42.17,63098.547,415.778
7/1/2017,923.921,43.42,74213.784,451.317
8/1/2017,869.74,44.96,70229.13,444.279
9/1/2017,840.006,47.17,59039.437,402.778
10/1/2017,894.515,49.12,54435.842,407.888
11/1/2017,879.9,55.19,55357.275,425.815
12/1/2017,909.322,56.98,63002.781,486.151
1/1/2018,958.085,62.25,69253.774,512.065
2/1/2018,897.56,61.18,50024.953,414.751
3/1/2018,998.825,60.68,48869.909,446.895
4/1/2018,1005.717,63.5,44793.442,402.914
5/1/2018,1048.456,66.16,51573.59,406.662
6/1/2018,1018.926,62.8,60239.976,420.561
7/1/2018,933.103,67,68083.151,453.81
8/1/2018,939.764,62.64,67976.37,459.201
9/1/2018,852.988,63.54,58159.414,414.205
10/1/2018,890.844,65.18,52811.207,425.932
11/1/2018,894.207,55.65,56170.449,447.994
12/1/2018,931.479,47.63,60149.091,472.734
1/1/2019,928.59,48,60198.764,499.581
2/1/2019,869.601,52.6,49199.764,432.648
3/1/2019,988.904,57.46,48347.845,448.422
4/1/2019,1023.881,63,37282.224,383.103
5/1/2019,1065.456,59.73,44060.166,398.973
6/1/2019,997.705,54.34,48267.03,401.85
7/1/2019,985.22,56.47,59801.968,442.42
8/1/2019,939.378,53.63,56310.744,443.752
9/1/2019,901.129,55.14,51113.288,403.678
10/1/2019,933.183,53.14,41517.648,404.46
11/1/2019,900.215,54.96,45869.143,432.701
12/1/2019,935.226,58.41,44574.785,455.253
1/1/2020,959.29,56.55,40771.261,450.235
2/1/2020,967.52,49.66,36011.703,418.265
3/1/2020,963.978,31.01,32842.827,387.66
4/1/2020,915.348,15.18,26754.133,305.228
5/1/2020,1022.323,18.02,29783.502,317.507
6/1/2020,1037.951,33.81,39797.904,347.775
7/1/2020,985.773,37.44,52852.356,403.796
8/1/2020,943.395,39.37,53610.339,405.876
9/1/2020,874.063,36.82,41827.721,363.917
10/1/2020,918.562,36.39,37392.536,371.139
11/1/2020,962.361,38.25,37873.817,372.626
12/1/2020,968.169,43.92,47175.003,436.351
1/1/2021,966.254,49.47,49009.762,449.509
